Role,Dialogue
피해자,"아 처음에도 처음에도 그렇게 말씀을 하셔가지고, 제가 (삐-) 솔직히 상환을 한거잖아요"
사기범,"예, 오늘 정리하셨더라고요"
피해자,"그래서 원래 상환을 하면, 상환을 할 상황이 아닌데, 상환을 했는데, 이번에, 아 제가 말을 잘못하셔가지고 계속 안 된다라고 계속 얘기를 하시더라고요"
사기범,"아 그 지금 전산에 지금 보니까 지금 그 부과세 부분을 등록을 안 시키더라고요. 그래서 지금 제가 지금 모르는 상황에서 저희가 지금 입금 처리를 해드릴려고 하는데, 지금 부채가 아직도 한 450 정도 좀 초과로 나오시니까 저희도 어쩔 수 없이 고객님 앞으로 연락을 드린 거예요 부과세는 솔직히 말씀 드리면 이거는 세금이잖아요"
피해자,예
사기범,"예 그러다 보니까 지금 저 전산에 등록을 안 시킨 거 같애요. 지금 대환으로 하다 보니까 (삐-)하고 (삐-)는 등록이 됐는데, 그 부가세는 이제 세금이다 보니까 이제 그 담당 분께서 안, 등록을 안 시킨거 같은데, 이 부가세도 어차피 그게 갚을 거잖아요. 결론적으로. 나중에는 근데 이제 그게 부채가 포함이 되는데, 그걸 이제 착각을 하고 안 올린 거 같애요. 일단 그러면 고객님께서 결정을 하세요 어 저희 지금 최종 결론은 뭔가면 만약에 (삐-) 저기가 정리가 되면 대출 자금 진행이 가능하신데"
피해자,예
사기범,만약에 정리가 안 되면 여기서 대출을 스톱을 시켜야 돼요
피해자,"제가 지금 그럴 상황이 안돼요. 어저께도 말씀드렸었는데, 아 그러면 저희가 다시 한번 진행을 해볼게요. 그쪽에서 말씀드리고서 그쪽에다 넘기는거였거든요"
사기범,아 그러시구나
피해자,네
사기범,음
피해자,"해서 그쪽에서 제의를 한게, 그러면 일부 한 200만원 먼저 (삐-)에다가 상환을 하시면, 저희쪽에서도 어느정도 들어가야되니까, 200만원 먼저 구해보시라고 그 다음에 한번 진행을 해보겠다고 말씀하셨거든요"
사기범,"아 그러시구나. 지금 이 상황에선 다른 방법이 없어요. 고객님. 결론적으로, 지금 부채가 지금 이게 450에 원래 지금 (삐-) 450 정도 (삐-) 한 450 정도, 이럼 900이에요. 900에 1600하면 2500 정도 되시는데, 지금 부채가 너무 많다는 얘기에요. 그리고 부채를, 일부를 지금 상환을 하셨고, 그래서 지금 한 2000으로 남아 있는데, 지금 등록은 지금 리드코프밖에 등록을 안 했어요. 그러다 보니까 지금 1600이 지금 추가로 부채가 나오는 상황이라, 이런 상황에는 부채를 일부라도 상환을 하셔야 돼요. 부채가 초과가 안 되시는 상황이 없습니다. 저희 쪽에서 바로 고객님 앞으로 입금을 해드리면 고객님께서 받고 나서 이제 정리를 하시면 되는데, 이미 부채가 초과가 됐기 때문에, 이렇게 진행을 하시는 거예요. 부채 초과가 안 됐으면 상관이 없습니다. 그냥 대출자금 받아 가시면 되는 거예요. 그리고 이제 만약에 이제 고객님께서 이번에 지금 진행을 하면, 그 혹시 그 (삐-) 대출 받을 때"
피해자,예
사기범,혹시 전화 번호 가지고 계십니까?
피해자,네
사기범,아 전화 번호가 어떻게 되십니까?
피해자,(삐-)요?
사기범,그러니까 (삐-) 고객님께서 대출 500을 받으셨잖아요. 최근에
피해자,예
사기범,받을 때 어디에서 어느 지점에서 받으신 거죠.
피해자,흐음
사기범,여보세요
피해자,네 네.
사기범,예 예. 어느 지점에서 받으신 겁니까?
피해자,저 지점은 잘 모르겠고요
사기범,아 전화 번호 어떻게 되십니까? 그럼 제가 지점 확인해 드릴게요
피해자,02에 (삐-)
사기범,"잠시만요. 제가 지점 한번 확인해 드릴게요. (삐-) 지점이네요 (삐-) 지점이요. 일단은 뭐 지금 상황에서 고객님께서 뭐 솔직히 그래요. 저희도 뭐 대출 자금 내 보내드리면 저희도 좋고 이제 고객님께서는 받아서 좋겠지만은, 지금 부채가 초과로 나오는 이상은 지금 대출 자금 저희가 내 보내드리면 불법 대출이 되기 때문에, 저희도 함부로 넣어 드릴수가 없어요. 그러기 때문에 초과된 것만 처리가 되면 정상대출로 진행이 가능하시니까, 저희도 뭐 그렇게 진행을 할 수밖에 없는 상황이라 일단 뭐 고객님께서 좀 힘 들지만, 좀 생각해 보시고 만약에 진행이 가능하시다고 하면 연락을 한번 주세요. 죄송하지만 저희 직원이 좀 뭐 착오가 있는 저..."
피해자,"아니요. 착오가 아니고 지금 사람갖고 장난하는것도아니고, 제가 처음부터 저 부가세 있어서 안 된다 그랬더니 그러면 부과세는 여기하고 상관이 없으니까 상관이 없으니까 저희가 이쪽에서 대환이 가능합니다 말씀을 해주셨거든요"
사기범,"그 담당께서 고걸 이제 세금 부분을 이제 착각을 하신 거 같은데, 세금도 미납 부분 나오시니까 그게 부채에 포함이 되십니다. 고거를 착각하신 거 같애요. 왜냐면 세금, 세금은 또 대출 자금하고 또 대출 대출은 대출이고 세금을 세금인데, 부채를 이렇게 통합을 안 하신 거 같애요. 그러다 보니까 고런 뭐 착오가 좀 있는 거 같은데, 아 아 이걸 어떻게 근데 죄송한 마음은 있는데, 뭐 이거를 뭐 저희가 법을 어겨 가면서 대출을 진행할 수는 없는 거 아니에요."
피해자,알겠습니다
사기범,예 예. 죄송하고요. 일단 뭐 고객님 생각해보시고 뭐 진행 가능하시면 먼저 연락을 주세요. 제가 저도 좀 준비해서 그렇게 진행을 해 드리겠습니다
피해자,알겠습니다
사기범,네 예. 네 예.
