Role,Dialogue
사기범,심사 올라가시는 금액은 3천만 원 다 올라가시구요. 금리는 5.5% 고정 금리에 상환 기간은 60개월 5년이고요. 상환하시는 금액은 57만 3035원입니다. 맞죠?
피해자,예
사기범,"내가 상환하시면, 일단은 좀 바쁘세요? 집중을 안 하시는 것 같아요"
피해자,아니요 말씀하세요.
사기범,예 말씀 드리는 거 말씀 드리는데 집중을 안 하시는 거 같다고요
피해자,아 예
사기범,집중하실 거예요?
피해자,아 예 예. 말씀하세요. 다 들립니다
사기범,예 예 매월 상환하시는 날짜는 일단은 며칠로 해드릴까요?
피해자,그 보자 25일요.
사기범,예 차후에 변동 안 되세요
피해자,예
사기범,대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 계좌 한번 부탁 드릴게요
피해자,농협이요?
사기범,네
피해자,예. 잠깐만 갑자기 생각이 안 나네. (삐-)
사기범,(삐-)요?
피해자,예
사기범,고객님 본인명의세요?
피해자,예 예
사기범,수납 담당자님 계좌 번호는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요?
피해자,수납요?
사기범,예 위임 처리 비용 수납 처리해주신다고 하셨잖아요
피해자,아 제가 먼저 돈을 드려야 되는거에요?
사기범,심사를 보죠. 예 예 예.
피해자,다 제외하고 들어오던데?
사기범,아 그렇게는 안되구요. 그러면은 저희가 이제 따로 수납 처리 안 받고 공증을 직접 하시는 걸로 처리를 할 테니깐요. 사무실 좀 알아보시고 연락을 주세요
피해자,아 돈을 그렇게 먼저 넣는거 처음인데 대출 받아면서
사기범,원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요
피해자,"아 아. 왜냐면 솔직히 이게 보이스피싱 같기도 하고, 20만원 큰 돈도 아니겠지만, 느낌이 이상하네요 좀. 제가 지금까지 대출을 받은거 다 아시겠지만, 받으면은 제외하거나 빼서 들어오지. 20만원 먼저 넣어라 이건 아닌거 같은데요?"
사기범,그래서 말씀 드리잖아요. 20만원 넣지 않으셔도 되고요. 변호사 선임해주시고 연락을 주시면은 저희 직원이 파견나간다고요
피해자,변호사까지 선임하는 대출을 누가 합니까 그럼? 됐습니다
사기범,그럼 공증을 지금 저희가 해드릴 수 있는 담보물이 있어요?
피해자,아휴 그럼 어떻게 해요. 제가 입금 바로 쓸 수가 있는거지. 느낌이 완전 보이스 피싱
사기범,이상한게 아니라 지금 자격 요건이 안 되시잖아요
피해자,돈을 먼저 넣으라는 거는 나는 좀 이해가 안되네요.
사기범,이해가 안되는게 대가리가 xx라서 그래요
피해자,말하는거 봐라. 보이스 피싱 맞네
사기범,무슨 보이스 피싱이에요. 봐요. 고객님 대출 진행하실 여건이 되요?
피해자,여보세요. xx요? 은행 직원이 할 말이에요?
사기범,대출 진행하실 요건이 되세요?
피해자,안 끊으면 신고한다 경찰에. 통화내용 녹음되니까
사기범,안되니까 괜히 또. xx 같은 xx가 그냥 확 그냥. 안되잖아요 고객님
피해자,신고할테니까 그렇게 알고 있어라
사기범,돼요 안돼요
피해자,20만원 가지고 사기칠려고 그러냐?
사기범,안 할거 알고 있었어. 그러니까
피해자,아이고 xx아
사기범,끊어 이 xx야
피해자,니가 은행직원이라고?
