Role,Dialogue
피해자,그럼 내일 전화하면은 받을 수 있나요 그 친구랑?
사기범,"네. 고객님 그 친구라뇨? 대리라고 대리님이라고 해야죠. 그분은 고객님한테 고객님이라고 존칭 써주는데, 안 그런가요?"
피해자,그러니까 내일 통화 할 수 있냐고요.
사기범,할 수 있다고요. 지금 어디서 계속 소리를 지를라고 하세요? 왜 화 내세요.
피해자,아니 지금 화가 안 나게 생겼어요?
사기범,저 일반 상담사 아니구요.
피해자,예
사기범,고객님 잘 생각하고 화 내세요. 저도 화 낼 수 있으니까.
피해자,일단 내일 다시 통화할게요.
사기범,괜히 언성 높이면서 싸우지 말고요 고객님 저랑.
피해자,제가 다시 통화를 할게요 내일.
사기범,예 그럼 말 제 말 잘 생각해 보시고 내일 통화 주세요.
피해자,네.
