Role,Dialogue
사기범,그래서 어제 처음에도 말씀 드렸듯이 한 통장에서 저희가 삼천만원 이상 거래 안 할 거고 천오백 이하로 거래할 거야 이런 거 다 설명을 드렸잖아요 그죠 그래서 그런 걱정 안하셔도 돼요.
피해자,네
사기범,걱정이 많이 되세요?
피해자,아니 이게 전국에 이게 많아요 이렇게?
사기범,아 저희가 솔직히 서울쪽에는 많이 있어요
피해자,네
사기범,서울쪽에 많이 있고 인제 그 대전에는 지금 두 분밖에 안 계세요
피해자,네
사기범,잠시만요 잠시 만요 주차장 도착했다고 하는데요
피해자,아 그래요 알겠습니다 제가 주차장이 지금 아니라서
사기범,잠시 만요 그냥 전화 끊지 말고 나와 주셔도 되실 것 같은데...
피해자,네
사기범,아 잠깐만 군산 지점 농협 앞으로 와주시면 안되나요? 서로 찾기 편하게.
피해자,잠깐만요. 예 말씀 하세요
사기범,네 농협 앞에 그냥 가계... 가주시면 안되나요?
피해자,아 그래도되요.
사기범,네 잠깐만요 저희 직원이 혹시 아는 척 하면
피해자,예
사기범,아 전화 안 끊고 가셔도 상관 없어요.
피해자,예
사기범,(삐-) 그 친구 이름이
피해자,이름이 저기 어떻게 돼요?
사기범,"잠깐 만요 카톡을 하고 있어가지고. 아니 뭐야. 주차장, 주차장이세요? 주차장 앞에 있다는데요"
피해자,아 그래요?
사기범,네
피해자,제가 정문으로 왔었는데
사기범,긴팔티 입고 있데요 회색 긴팔티
피해자,회색 긴팔티요?
사기범,네
피해자,저기 혹시 무슨 백 같은거 메고 계신 분인가?
사기범,잠시만요 물어 볼게요
피해자,(삐-) 되세요?
사기범2,아 예 맞아요
피해자,아 예 맞다는데요
사기범,예. 맞으면 그 495만원 주시면되요.
피해자,예
사기범,예 그럼 저하고 통화 좀 할게요
피해자,아 네 네. 잠깐만요. 예 지금 하고 있어요. 전화 드릴게요.
사기범,네
